ParName   Value   Gradient
MGparm[1]     0.213568  4.7304e-005
SR_parm[1]       14.543 -5.94232e-005
SR_parm[2]     0.864681 -1.93916e-006
recdev_early(1946)    -0.645969 -3.16106e-008
recdev_early(1947)    -0.232541 8.66753e-008
recdev_early(1948)    -0.275735 -1.89254e-008
recdev_early(1949)    -0.324979 -6.12683e-008
recdev_early(1950)    -0.380589 1.87815e-007
recdev_early(1951)    -0.442787 2.02939e-007
recdev_early(1952)    -0.510499 2.51129e-008
recdev_early(1953)    -0.586832 -4.81645e-008
recdev_early(1954)    -0.667274 2.02805e-007
recdev_early(1955)    -0.748786 6.46722e-007
recdev_early(1956)     -0.83416 3.55643e-007
recdev_early(1957)    -0.917009 -2.54365e-007
recdev_early(1958)     -0.99456 1.63605e-006
recdev_early(1959)     -1.05944 -1.24386e-006
recdev_early(1960)     -1.09347 -1.87448e-007
recdev_early(1961)     -1.06745 -9.3924e-007
recdev_early(1962)    -0.955874 -2.14676e-007
recdev_early(1963)    -0.789456 -6.25438e-007
recdev_early(1964)    -0.539102 -1.98173e-007
recdev_early(1965)    -0.185234 -1.14476e-006
recdev_early(1966)    -0.087635 -1.11637e-006
recdev_early(1967)     0.808492 -1.38576e-006
recdev_early(1968)     0.577947 -2.25709e-006
recdev_early(1969)    -0.406148 2.59149e-007
recdev1(1970)      1.84114  4.1504e-007
recdev1(1971)    -0.179491 3.48981e-006
recdev1(1972)    -0.730993 3.74578e-006
recdev1(1973)      1.56013 3.60307e-006
recdev1(1974)     -1.05994 3.78414e-006
recdev1(1975)     0.385485 4.29602e-006
recdev1(1976)     -1.63084 3.67605e-006
recdev1(1977)      1.71001  1.8653e-006
recdev1(1978)     -2.07176 3.03995e-006
recdev1(1979)     0.148354 3.29198e-006
recdev1(1980)      2.75749 -1.09594e-005
recdev1(1981)     -1.45998 3.40538e-006
recdev1(1982)     -1.39464 3.48608e-006
recdev1(1983)     -0.79684 3.42882e-006
recdev1(1984)      2.52622 -1.47958e-005
recdev1(1985)     -2.12731 3.72801e-006
recdev1(1986)     -1.77109    3.67e-006
recdev1(1987)       1.7711 -9.61567e-006
recdev1(1988)      0.70095 -1.8472e-006
recdev1(1989)      -1.9984 3.22167e-006
recdev1(1990)      1.37769 -7.81956e-006
recdev1(1991)      0.21785 1.09291e-006
recdev1(1992)     -1.93938 4.15123e-006
recdev1(1993)      1.12882 -6.38559e-006
recdev1(1994)      1.18466 -5.39728e-006
recdev1(1995)     0.256226 3.05748e-007
recdev1(1996)     0.607865 -6.25009e-008
recdev1(1997)    0.0205002 -3.58609e-007
recdev1(1998)      0.66003 -1.27062e-006
recdev1(1999)      2.56534 -2.59942e-005
recdev1(2000)    -0.966816 1.96239e-006
recdev1(2001)     0.164534 2.34482e-007
recdev1(2002)     -3.43431 2.80502e-006
recdev1(2003)     0.461258 -4.26581e-006
recdev1(2004)     -2.43001 2.61283e-006
recdev1(2005)     0.924926 -3.58574e-006
recdev1(2006)     0.664207 -2.01871e-007
recdev1(2007)     -3.66625 3.57536e-006
recdev1(2008)      1.62562 -6.73214e-006
recdev1(2009)     0.274278 2.62531e-006
recdev1(2010)      2.57552 -1.34876e-006
recdev1(2011)    -0.881226 3.20391e-006
recdev1(2012)   -0.0307331 5.91665e-006
recdev1(2013)    -0.948181 3.56934e-006
recdev1(2014)      1.99237 5.16207e-006
recdev1(2015)     -2.28165 3.73498e-006
recdev1(2016)       1.1623 7.40917e-006
recdev1(2017)     0.534995 3.21763e-006
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Q_parm[2]     0.260136 6.13557e-008
selparm[3]       2.4716 -2.49262e-006
selparm[4]     0.908428 -2.7759e-006
selparm[5]     0.399418 -2.89412e-006
selparm[6]     0.215115 -1.14729e-005
selparm[7]     0.474583 -2.09267e-005
selparm[25]     0.584551 -1.16901e-007
selparm[26]    -0.229081 2.73668e-007
selparm[27]     0.283525 6.02016e-007
selparm[28]     0.385017 -7.86008e-007
selparm[43]    -0.156727 -8.00943e-006
selparm[44]      2.43972 1.05957e-005
parm_dev[1](1991)     0.605322 -5.10238e-007
parm_dev[1](1992)   -0.0186175 -8.20404e-007
parm_dev[1](1993)   -0.0167179   1.391e-006
parm_dev[1](1994)    0.0732584 -1.80777e-007
parm_dev[1](1995)    -0.291592 9.68541e-007
parm_dev[1](1996)     0.501567 -2.92764e-007
parm_dev[1](1997)    0.0616949 1.10072e-007
parm_dev[1](1998)      0.22177 -1.65775e-007
parm_dev[1](1999)      1.13593 -7.28063e-008
parm_dev[1](2000)     0.633692 1.03225e-007
parm_dev[1](2001)    0.0343285 -5.12627e-007
parm_dev[1](2002)    0.0254196 1.00486e-007
parm_dev[1](2003)  -0.00351468 -1.01741e-007
parm_dev[1](2004)     0.276717 -1.01751e-006
parm_dev[1](2005)  -0.00482482 -2.50273e-006
parm_dev[1](2006)      1.03395 1.22863e-007
parm_dev[1](2007)     0.643135 -1.16022e-007
parm_dev[1](2008)   -0.0251974 4.30159e-007
parm_dev[1](2009)      0.47034 -8.21091e-007
parm_dev[1](2010)      1.06988 -6.07507e-008
parm_dev[1](2011)    0.0648401 -2.20324e-006
parm_dev[1](2012)    0.0895595 -4.06139e-008
parm_dev[1](2013)      0.11666 -2.77606e-007
parm_dev[1](2014)     0.466928 -1.13922e-008
parm_dev[1](2015)    -0.527745 -7.88995e-007
parm_dev[1](2016)    -0.078334 2.43274e-007
parm_dev[1](2017)    -0.628665  7.5973e-007
parm_dev[1](2018)    -0.576346 8.74694e-007
parm_dev[2](1991)      0.34693 -4.90675e-007
parm_dev[2](1992)     0.795711 1.56904e-006
parm_dev[2](1993)     0.803026 -3.97951e-007
parm_dev[2](1994)     0.108488 4.18332e-007
parm_dev[2](1995)     0.214266 5.61825e-007
parm_dev[2](1996)    -0.399975 -1.07747e-006
parm_dev[2](1997)      1.28054 1.65064e-007
parm_dev[2](1998)     0.935575 -7.55558e-007
parm_dev[2](1999)    -0.168916  6.3096e-007
parm_dev[2](2000)     0.785253 9.18939e-007
parm_dev[2](2001)     0.946888 3.17157e-006
parm_dev[2](2002)     0.689396 -4.04362e-007
parm_dev[2](2003)     0.654112 -3.99495e-007
parm_dev[2](2004)     0.379217 -7.95465e-007
parm_dev[2](2005)       0.5927 -7.60271e-007
parm_dev[2](2006)    -0.618176 1.01836e-006
parm_dev[2](2007)     0.363612 -1.15306e-006
parm_dev[2](2008)       0.3758 -2.85861e-006
parm_dev[2](2009)     0.701209 1.39526e-006
parm_dev[2](2010)     0.112268 5.34795e-006
parm_dev[2](2011)      1.05179 -2.89116e-006
parm_dev[2](2012)     0.144769 5.07344e-006
parm_dev[2](2013)     0.808302 -2.76868e-007
parm_dev[2](2014)     0.179173 -4.9412e-008
parm_dev[2](2015)     0.476554 -2.69528e-007
parm_dev[2](2016)    -0.924775 -5.48908e-006
parm_dev[2](2017)    -0.295628 -2.98842e-007
parm_dev[2](2018)    -0.940426 -6.38881e-006
parm_dev[3](1991)     -0.84166 1.11568e-006
parm_dev[3](1992)    -0.156568 2.04948e-006
parm_dev[3](1993)    0.0583175 5.79853e-007
parm_dev[3](1994)     0.849957 -2.17171e-007
parm_dev[3](1995)       0.2405 -6.06692e-007
parm_dev[3](1996)    -0.267276 9.82466e-007
parm_dev[3](1997)    -0.139307 1.71521e-007
parm_dev[3](1998)    -0.620464 3.27941e-007
parm_dev[3](1999)     0.106246 -1.21085e-006
parm_dev[3](2000)    -0.199346 -1.35206e-007
parm_dev[3](2001)     0.318446 2.05453e-006
parm_dev[3](2002)     0.551922 6.03638e-008
parm_dev[3](2003)     0.600982 1.03923e-007
parm_dev[3](2004)     0.673627   6.144e-007
parm_dev[3](2005)     0.641977 3.73109e-006
parm_dev[3](2006)    0.0502068 4.24917e-006
parm_dev[3](2007)     -0.26958 -2.56947e-007
parm_dev[3](2008)    -0.533329 -1.00648e-006
parm_dev[3](2009)    -0.119879 -7.14055e-007
parm_dev[3](2010)      0.46914 3.80296e-006
parm_dev[3](2011)    -0.710539 -1.03765e-005
parm_dev[3](2012)     0.223408 6.13707e-006
parm_dev[3](2013)    -0.267096 1.83581e-006
parm_dev[3](2014)    -0.373522 8.69827e-007
parm_dev[3](2015)    -0.146151 -1.19431e-006
parm_dev[3](2016)     0.262573 -7.52072e-006
parm_dev[3](2017)     -0.14207 1.64893e-006
parm_dev[3](2018)   -0.0495678 -7.12307e-006
parm_dev[4](1991)   -0.0370475 1.41181e-007
parm_dev[4](1992)    -0.507551 -5.79085e-007
parm_dev[4](1993)   -0.0433634 -2.4691e-007
parm_dev[4](1994)    -0.123592 -1.54435e-006
parm_dev[4](1995)     0.709638 -2.1149e-007
parm_dev[4](1996)   -0.0878306 2.84237e-007
parm_dev[4](1997)    -0.374931  1.7587e-006
parm_dev[4](1998)     0.360573 7.27405e-008
