Scenario,PropR,Natural Mortality M,Weight at Age,Movement,Selectivity,SteepnessH,GLOBALFMSY,LOCALFMSY,SBMSY_RATIO_TOTAL,MSY_RATIO,GLOBAL_DEPL_TOTAL,LOCAL_DEPL_TOTAL
NoMovement_Rprop=0.5,0.5,0.17,Fig. 1A,Fig. 1D,Fig. 1F,"0.75, 0.75","0.46, 0.46","0.46, 0.46",1,1,0.22,0.22
NoMovement_Rprop=0.6,0.6,0.17,Fig. 1A,Fig. 1D,Fig. 1F,"0.75, 0.75","0.46, 0.46","0.46, 0.46",1,1,0.22,0.22
NoMovement_Rprop=0.7,0.7,0.17,Fig. 1A,Fig. 1D,Fig. 1F,"0.75, 0.75","0.46, 0.46","0.46, 0.46",1,1,0.22,0.22
NoMovement_Rprop=0.8,0.8,0.17,Fig. 1A,Fig. 1D,Fig. 1F,"0.75, 0.75","0.46, 0.46","0.46, 0.46",1,1,0.22,0.22
NoMovement_Rprop=0.9,0.9,0.17,Fig. 1A,Fig. 1D,Fig. 1F,"0.75, 0.75","0.46, 0.46","0.46, 0.46",1,1,0.22,0.22
NoMovement_HigherWAA_Rprop=0.5,0.5,0.17,Fig. 1B,Fig. 1D,Fig. 1F,"0.75, 0.75","0.31, 0.63","0.17, 0.77",1.03,0.98,0.23,0.22
NoMovement_A1LowSelex_Rprop=0.5,0.5,0.17,Fig. 1A,Fig. 1D,Fig. 1G,"0.75, 0.75","0.24, 0.91","0.4, 0.37",0.98,1.01,0.23,0.24
NoMovement_lowerH,0.5,0.17,Fig. 1A,Fig. 1D,Fig. 1F,"0.7, 0.7","0.39, 0.39","0.39, 0.39",1,1,0.24,0.24
NoMovement_lowerM,0.5,0.15,Fig. 1A,Fig. 1D,Fig. 1F,"0.75, 0.75","0.4, 0.4","0.4, 0.4",1,1,0.22,0.22
NoMovement_higherH,0.5,0.17,Fig. 1A,Fig. 1D,Fig. 1F,"0.8, 0.8","0.55, 0.55","0.55, 0.55",1,1,0.2,0.2
NoMovement_higherM,0.5,0.2,Fig. 1A,Fig. 1D,Fig. 1F,"0.75, 0.75","0.57, 0.57","0.57, 0.57",1,1,0.22,0.22
BaseCase_PstayA2 = 0.75,0.5,0.17,Fig. 1A,Fig. 1C,Fig. 1F,"0.75, 0.75","0.54, 0.07","7.21, 0.26",3.43,0.67,0.22,0.06
PstayA1 = 0.9 PstayA2 = 0.8,0.5,0.17,Fig. 1A,Fig. 1E,Fig. 1F,"0.75, 0.75","0.53, 0.36","0.46, 0.46",0.95,1,0.22,0.23
base+A1LowSelex,0.5,0.17,Fig. 1A,Fig. 1C,Fig. 1G,"0.75, 0.75","0.36, 0.43","0.37, 0.1",0.65,0.99,0.24,0.38
base+A1HighSelex,0.5,0.17,Fig. 1A,Fig. 1C,Fig. 1H,"0.75, 0.75","0.81, 0","26.62, 0.24",2.37,0.61,0.2,0.08
base+comboH,0.5,0.17,Fig. 1A,Fig. 1C,Fig. 1F,"0.8, 0.7","0.54, 0.07","0.58, 0.16",0.79,0.95,0.22,0.28
base+revComboH,0.5,0.17,Fig. 1A,Fig. 1C,Fig. 1F,"0.7, 0.8","0.54, 0.07","7.02, 0.38",3.85,0.68,0.22,0.06
base+lowHhighM,0.5,0.2,Fig. 1A,Fig. 1C,Fig. 1F,"0.7, 0.7","0.57, 0.04","13.11, 0.3",3.16,0.59,0.24,0.08
base+highHlowM,0.5,0.15,Fig. 1A,Fig. 1C,Fig. 1F,"0.8, 0.8","0.55, 0.09","0.49, 0.14",0.65,1,0.2,0.31
