"Scenario","PropR","Natural Mortality M","Weight at Age","Movement","Selectivity","SteepnessH","GLOBALFMSY","LOCALFMSY","SBMSY_RATIO_TOTAL","MSY_RATIO","GLOBAL_DEPL_TOTAL","LOCAL_DEPL_TOTAL","A1DEPL_LOCAL","A1DEPL_GLOBAL","A2DEPL_LOCAL","A2DEPL_GLOBAL"
"NoMovement_Rprop=0.5",0.5,0.15,"Fig. 1K","Fig. 1B","Fig. 1L","0.7, 0.7","0.27, 0.27","0.27, 0.27",1,1,0.26,0.26,0.264145752353453,0.26417068562369,0.264145752353453,0.26417068562369
"NoMovement_Rprop=0.6",0.6,0.15,"Fig. 1K","Fig. 1B","Fig. 1L","0.7, 0.7","0.27, 0.27","0.27, 0.27",1,1,0.26,0.26,0.263806991280263,0.264183903011134,0.263806991280263,0.264183903011134
"NoMovement_Rprop=0.7",0.7,0.15,"Fig. 1K","Fig. 1B","Fig. 1L","0.7, 0.7","0.27, 0.27","0.27, 0.27",1,1,0.26,0.27,0.265160719750522,0.264210854311135,0.265160719750522,0.264210854311135
"NoMovement_Rprop=0.8",0.8,0.15,"Fig. 1K","Fig. 1B","Fig. 1L","0.7, 0.7","0.27, 0.27","0.27, 0.27",1,1,0.26,0.27,0.265162480339866,0.264205551781711,0.265162480339866,0.264205551781711
"NoMovement_Rprop=0.9",0.9,0.15,"Fig. 1K","Fig. 1B","Fig. 1L","0.7, 0.7","0.27, 0.27","0.27, 0.27",1,1,0.26,0.26,0.264590416282171,0.264172639220944,0.264590416282171,0.264172639220944
"Higher WAA in Area 2",0.5,0.15,"Fig. 1K","Fig. 1B","Fig. 1L","0.7, 0.7","0.19, 0.36","0.25, 0.27",1,1,0.27,0.27,0.267972243892136,0.267875951351355,0.267972243892136,0.267875951351355
"NoMovement_A1LowSelex_Rprop=0.5",0.5,0.15,"Fig. 1K","Fig. 1B","Fig. 2B","0.7, 0.7","0.16, 0.48","0.23, 0.28",1,1.01,0.27,0.27,0.272120685373753,0.272697116557199,0.272120685373753,0.272697116557199
"NoMovement_lowH",0.5,0.15,"Fig. 1K","Fig. 1B","Fig. 1L","0.6, 0.6","0.2, 0.2","0.2, 0.2",1,1,0.3,0.3,0.303957399590077,0.30490998732585,0.303957399590077,0.30490998732585
"NoMovement_highH",0.5,0.15,"Fig. 1K","Fig. 1B","Fig. 1L","0.8, 0.8","0.39, 0.39","0.39, 0.39",1,1,0.22,0.22,0.22042513969207,0.220014247486352,0.22042513969207,0.220014247486352
"NoMovement_comboH",0.5,0.15,"Fig. 1K","Fig. 1B","Fig. 1L","0.6, 0.8","0.27, 0.27","0.2, 0.39",1,1,0.26,0.26,0.263024988518321,0.26417068562369,0.263024988518321,0.26417068562369
"NoMovement_revComboH",0.5,0.15,"Fig. 1K","Fig. 1B","Fig. 1L","0.8, 0.6","0.27, 0.27","0.39, 0.2",1,1,0.26,0.26,0.263024988518321,0.26417068562369,0.263024988518321,0.26417068562369
